,¿ù,ÀÏ,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,sum,year
75,3,17,0,0,0,0,0,0.0,0.0,82.44,269.04,536.52,405.0,349.08,688.08,367.56,124.92,41.88,57.96,21.24,0.0,0.0,0.0,0.0,0.0,0.0,2963.7200000000003,2013
76,3,18,0,0,0,0,0,0.0,0.0,18.0,78.48,141.84,181.56,443.04,508.56,548.88,766.92,431.28,334.08,177.0,20.52,0.0,0.0,0.0,0.0,0.0,3671.16,2013
77,3,19,0,0,0,0,0,0.0,0.12,68.76,307.2,602.76,820.56,977.16,892.8,720.96,496.32,340.32,177.6,64.32,4.68,0.0,0.0,0.0,0.0,0.0,5495.5599999999995,2013
78,3,20,0,0,0,0,0,0.0,0.0,35.52,72.48,79.56,115.8,242.52,331.44,833.04,642.48,440.4,513.0,307.8,27.12,0.0,0.0,0.0,0.0,0.0,3664.1600000000003,2013
79,3,21,0,0,0,0,0,0.0,2.52,148.32,556.08,933.72,1171.68,1284.96,1359.48,1332.24,1227.48,1008.0,690.84,295.08,29.88,0.0,0.0,0.0,0.0,0.0,10064.28,2013
80,3,22,0,0,0,0,0,0.0,3.72,123.84,326.76,302.88,292.92,381.6,371.88,481.2,814.68,338.16,427.92,191.16,19.44,0.0,0.0,0.0,0.0,0.0,4101.16,2013
81,3,23,0,0,0,0,0,0.0,0.12,64.8,414.84,553.56,1125.96,1260.48,1314.96,1201.8,740.28,621.72,398.76,148.56,16.08,0.0,0.0,0.0,0.0,0.0,7887.92,2013
82,3,24,0,0,0,0,0,0.0,1.92,69.24,221.52,391.56,518.88,492.84,449.76,467.88,361.92,299.16,360.36,86.28,6.6,0.0,0.0,0.0,0.0,0.0,3754.92,2013
83,3,25,0,0,0,0,0,0.0,2.52,88.08,340.08,626.88,781.68,778.32,915.84,946.56,867.12,710.88,452.52,138.24,14.16,0.0,0.0,0.0,0.0,0.0,6690.879999999999,2013
84,3,26,0,0,0,0,0,0.0,3.0,109.32,269.52,369.24,575.04,517.92,698.28,810.96,736.32,551.88,348.24,124.68,13.2,0.0,0.0,0.0,0.0,0.0,5156.599999999999,2013
85,3,27,0,0,0,0,0,0.0,0.48,85.44,358.08,777.96,1010.88,1153.56,1242.48,1224.6,1115.88,915.6,628.08,275.4,31.32,0.0,0.0,0.0,0.0,0.0,8849.76,2013
86,3,28,0,0,0,0,0,0.0,7.32,168.12,516.12,845.76,1086.0,1246.32,1298.16,1221.48,955.8,547.68,379.68,187.32,28.44,0.0,0.0,0.0,0.0,0.0,8519.2,2013
87,3,29,0,0,0,0,0,0.0,3.12,91.2,533.4,910.08,1183.32,1301.28,1377.24,1340.88,1149.48,702.72,508.56,184.44,34.56,0.0,0.0,0.0,0.0,0.0,9352.279999999999,2013
88,3,30,0,0,0,0,0,0.0,8.52,120.96,409.68,700.56,800.28,941.28,878.28,657.0,466.2,326.76,320.16,108.6,6.84,0.0,0.0,0.0,0.0,0.0,5778.120000000001,2013
89,3,31,0,0,0,0,0,0.0,3.6,116.52,445.2,815.64,1049.52,1280.64,1306.44,1245.0,1127.76,922.44,608.76,261.36,35.64,0.0,0.0,0.0,0.0,0.0,9252.52,2013
90,4,1,0,0,0,0,0,0.0,7.68,148.2,355.56,736.08,865.68,840.0,906.6,1016.52,1101.36,899.88,604.8,242.88,40.2,0.0,0.0,0.0,0.0,0.0,7770.44,2013
91,4,2,0,0,0,0,0,0.0,0.0,19.44,146.52,221.16,206.28,227.88,189.84,131.4,124.2,115.2,40.56,12.24,0.0,0.0,0.0,0.0,0.0,0.0,1440.72,2013
92,4,3,0,0,0,0,0,0.0,10.8,195.96,564.24,906.12,1135.68,1291.32,1332.24,1253.88,1174.32,989.16,463.32,232.8,36.72,0.0,0.0,0.0,0.0,0.0,9593.56,2013
93,4,4,0,0,0,0,0,0.0,3.96,47.76,160.56,337.56,528.0,1112.52,1276.8,1214.28,1128.96,879.96,564.12,210.0,53.52,0.0,0.0,0.0,0.0,0.0,7526.0,2013
94,4,5,0,0,0,0,0,0.0,14.16,164.88,450.24,357.6,702.6,799.32,704.4,431.64,292.8,176.4,117.48,78.36,18.96,0.0,0.0,0.0,0.0,0.0,4317.84,2013
95,4,6,0,0,0,0,0,0.0,0.0,8.04,42.72,138.72,138.12,200.52,81.24,35.28,20.76,40.8,41.04,7.8,0.0,0.0,0.0,0.0,0.0,0.0,765.04,2013
96,4,7,0,0,0,0,0,0.0,0.0,12.0,87.24,183.12,219.12,516.84,937.68,955.32,842.88,934.2,649.2,320.52,41.64,0.0,0.0,0.0,0.0,0.0,5710.76,2013
97,4,8,0,0,0,0,0,0.0,20.52,146.28,486.48,584.52,623.76,785.52,801.48,1031.76,855.96,819.6,570.0,292.08,43.2,0.0,0.0,0.0,0.0,0.0,7073.16,2013
98,4,9,0,0,0,0,0,0.0,16.32,173.64,528.84,863.64,1104.84,1263.12,1308.48,1269.6,1172.04,975.36,642.84,284.4,49.2,0.0,0.0,0.0,0.0,0.0,9665.32,2013
99,4,10,0,0,0,0,0,0.0,23.52,221.4,430.32,661.2,1182.96,1119.6,1343.76,1346.88,1207.56,974.04,569.16,275.76,47.76,0.0,0.0,0.0,0.0,0.0,9417.92,2013
100,4,11,0,0,0,0,0,0.0,23.04,228.0,588.96,930.24,1171.32,1316.04,1365.36,1330.56,1209.6,1001.16,680.52,301.32,46.92,0.0,0.0,0.0,0.0,0.0,10208.04,2013
101,4,12,0,0,0,0,0,0.0,25.2,201.12,562.08,941.16,1174.44,1340.4,1387.44,1354.56,1234.44,1012.08,691.32,317.88,50.28,0.0,0.0,0.0,0.0,0.0,10308.400000000001,2013
102,4,13,0,0,0,0,0,0.0,33.72,225.72,537.36,843.6,1067.04,1199.4,1243.32,1208.52,1101.84,886.8,582.72,262.56,46.56,0.0,0.0,0.0,0.0,0.0,9256.16,2013
103,4,14,0,0,0,0,0,0.0,24.96,157.92,423.72,675.24,905.4,454.44,132.24,889.56,1109.88,973.08,680.16,321.36,55.32,0.0,0.0,0.0,0.0,0.0,6821.28,2013
104,4,15,0,0,0,0,0,0.0,28.2,210.12,522.36,830.64,983.4,1124.4,1139.52,1082.28,983.4,791.04,517.2,233.16,47.16,0.0,0.0,0.0,0.0,0.0,8511.880000000001,2013
105,4,16,0,0,0,0,0,0.0,35.76,193.08,362.4,529.32,872.88,1063.56,1179.96,1159.68,794.4,678.36,409.92,51.36,0.96,0.0,0.0,0.0,0.0,0.0,7351.640000000001,2013
